# Constructed from biom file
#OTU ID	F31-1	F31-2	F31-3	F31-4	F31-5	F31-6	F31-7	F31-8	F31-9	h3-4-5	taxonomy
5b7603954b5116d67b3b813b447f918f	16219.0	2536.0	581.0	160.0	384.0	232.0	2345.0	4887.0	470.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
0ed64f6ccc5889e8f8f29af6f6feac60	264.0	390.0	1446.0	2176.0	7928.0	1723.0	3355.0	5004.0	4148.0	25.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eisenbergiella
66c63063d36724a7d8e30cdfa7ad513c	99.0	80.0	314.0	132.0	874.0	363.0	1503.0	4484.0	16588.0	1345.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
cb533cc9b4681d342a922dc753d23d57	3202.0	377.0	7375.0	351.0	2982.0	1833.0	2678.0	3837.0	1925.0	54.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
967efeab3bbf1115d48e6424cd83dc56	2152.0	1494.0	2819.0	386.0	3781.0	1553.0	2812.0	3547.0	1626.0	4198.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella
47c5ed90cefbb3b9576593586e271039	1765.0	1220.0	2860.0	1741.0	6149.0	2528.0	2320.0	3038.0	2559.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
b3c37a6daa27a6355084c2108791a939	6792.0	6751.0	5577.0	0.0	0.0	0.0	678.0	896.0	350.0	206.0	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
5e15ecfb579e72bf87c0bea3920bbf42	2512.0	346.0	7880.0	480.0	2983.0	1927.0	1662.0	1815.0	1408.0	14.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Hungatella
77973015404d55a68d082d5f66842549	0.0	0.0	286.0	0.0	404.0	1460.0	5036.0	0.0	10247.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
aeca9bec0f5b1688d46e7eb36fe98c15	137.0	99.0	2897.0	505.0	2131.0	1913.0	2898.0	2657.0	3840.0	6.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter
38758fd481e4748b4179c6b97557a667	2746.0	1565.0	2545.0	650.0	1229.0	703.0	1633.0	1357.0	2379.0	5.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes
c3484dc3010adc69eaf87fee75fc8b4f	2120.0	1587.0	2523.0	691.0	2281.0	1329.0	1251.0	1267.0	1524.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
cd40e8fb0a79239f9f3f921d6b6a4b4b	1917.0	1104.0	1140.0	680.0	3015.0	1097.0	1247.0	2353.0	1513.0	257.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_finegoldii
3cfee8700c0cf9499323ddf8ccfe783e	5076.0	4937.0	1504.0	174.0	519.0	515.0	223.0	480.0	689.0	135.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Sellimonas
517736897c87edb0aa541e98fbcd23cc	796.0	1121.0	1759.0	1357.0	3553.0	460.0	772.0	1014.0	1194.0	1225.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
9daf405a914049cfb33422683b0f8bc8	939.0	1027.0	1498.0	895.0	3260.0	993.0	975.0	2568.0	725.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
b9de7cc4bc23b34eea09a567cac6e333	96.0	20.0	867.0	316.0	1267.0	413.0	3268.0	1026.0	4459.0	293.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis
5c43d4f0d97ebd5a6a16fa6f5e52eaa4	1581.0	765.0	1554.0	410.0	1387.0	1410.0	1235.0	1090.0	2099.0	107.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium; s__Eubacterium_sp.
5810feb72e15b634d1b5667c2128235d	11.0	0.0	34.0	972.0	2856.0	780.0	868.0	3419.0	1767.0	846.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Ruminococcus]_torques_group
5824fdcd2669f76c91d44aca5c814c52	3633.0	2437.0	1507.0	231.0	1980.0	292.0	86.0	352.0	405.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Ruminococcus]_gnavus_group
a3c78876249c6fd0fe2100604d1f04ac	293.0	293.0	1987.0	515.0	1809.0	957.0	344.0	2003.0	2425.0	129.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__Blautia_hydrogenotrophica
7a23c200b811e4ec378c9d156d828829	1123.0	439.0	1105.0	403.0	1030.0	1059.0	2969.0	1300.0	1311.0	10.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lactonifactor
1183cc23f552d81e63c93ca9fcba2f2c	1364.0	782.0	2957.0	640.0	769.0	1286.0	676.0	1119.0	270.0	797.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
7a3627eb32dae8697172efff6eb05750	942.0	633.0	3052.0	0.0	0.0	0.0	1310.0	920.0	1251.0	2293.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella
56b703f4e0324b8d1c6d717a78f71cb5	260.0	388.0	2087.0	915.0	3085.0	758.0	905.0	1377.0	445.0	5.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptococcales; f__Peptococcaceae; g__uncultured; s__unidentified
8bbbd83b99bc2d0087f12b0312aec525	1476.0	786.0	2456.0	71.0	963.0	1199.0	337.0	591.0	2208.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
a938f54c8965a7f720d0395a8e8683e9	485.0	518.0	1254.0	337.0	1411.0	1212.0	1450.0	766.0	2525.0	49.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__uncultured_bacterium
cfeeeba65f1982b6bde6d879053fbd15	2796.0	2260.0	2494.0	0.0	357.0	150.0	507.0	673.0	568.0	64.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
db7b0a57e5b9b1bf60a869e3d393d46b	864.0	1128.0	1518.0	870.0	2607.0	844.0	0.0	2024.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
052bb13ae57ca5b850fec54ce79613dc	634.0	668.0	733.0	606.0	1033.0	601.0	1350.0	893.0	2752.0	519.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
6c823f8c1eb5685e4c27d4e066d8b818	1296.0	975.0	105.0	0.0	1781.0	0.0	2040.0	1060.0	2487.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
975bafbd5dbadee778f9e5cfd3a6f113	539.0	44.0	1721.0	35.0	303.0	312.0	1826.0	862.0	3818.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter
dcc0783d6374c4c737ef82b0fd16331c	1234.0	770.0	3781.0	29.0	564.0	536.0	156.0	435.0	1542.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eisenbergiella
00384538296e6ff8065c9dc02d8595fe	0.0	0.0	0.0	775.0	3246.0	1065.0	2303.0	251.0	0.0	1053.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Intestinibacter
7f7c4dcf0d64e632d55db24c608cb40c	557.0	216.0	381.0	591.0	4212.0	267.0	359.0	1397.0	588.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
062f38ff92cfaee0654200b6f5be5ddf	475.0	117.0	724.0	83.0	3452.0	2096.0	352.0	279.0	327.0	617.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
27a7875bc5387d4dfd2f173102d384bf	625.0	824.0	1060.0	579.0	2048.0	630.0	552.0	1614.0	448.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
5998155da93ee27ddf1b0ea68843d6ab	653.0	567.0	1054.0	526.0	991.0	705.0	730.0	1101.0	1494.0	100.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis; s__uncultured_organism
383dccc700886ddcc564ae69cd56ced0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7900.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
0ef8ce6b77aa7f3bbdfd298ed7f5d453	0.0	0.0	0.0	0.0	0.0	25.0	5508.0	222.0	28.0	1996.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
4313c314270d939853a1e33fd1593a38	159.0	192.0	189.0	390.0	661.0	1209.0	2006.0	546.0	1484.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium; s__Faecalicatena_orotica
514bdfcbd36b050d12629926b3c02dcb	403.0	233.0	1507.0	123.0	1097.0	607.0	561.0	1216.0	718.0	14.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Flavonifractor
8f5c2c35e1a361a36f4ed8b129df7fe2	0.0	0.0	0.0	0.0	1808.0	0.0	1340.0	1217.0	2078.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
2d047a1acb4e464480718623538d7d65	420.0	521.0	555.0	412.0	700.0	398.0	989.0	534.0	1832.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
94865c61d1706f266659210aaf60db67	461.0	1365.0	1100.0	213.0	823.0	414.0	363.0	1116.0	444.0	17.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
7b9d325d82e65154d74e9ea58cb4b499	99.0	111.0	152.0	403.0	656.0	1205.0	1872.0	406.0	1375.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium; s__Faecalicatena_orotica
4f13ed1cdde3da06b6e2759585f3d4bd	1166.0	711.0	1162.0	266.0	492.0	306.0	615.0	579.0	907.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes
1e9a1f6c9c9622a1b641ae3648bf5711	545.0	295.0	580.0	273.0	572.0	548.0	1047.0	842.0	1406.0	50.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Frisingicoccus
3ba0beaa1822142852f15745f4070ec7	227.0	104.0	998.0	250.0	941.0	649.0	1172.0	656.0	634.0	225.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__UBA1819
49e7cd65b0c1e926bb15a3f0ab7ce6b4	1053.0	347.0	245.0	67.0	565.0	473.0	855.0	763.0	1074.0	96.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
febec6beed74932149b5eb403a11a3f3	366.0	480.0	435.0	371.0	694.0	335.0	834.0	533.0	1430.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
10ec6e879006afe4344b018e36011cc1	356.0	263.0	1112.0	706.0	685.0	325.0	556.0	667.0	761.0	0.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Adlercreutzia
3536877cfc5fc9fabcf77266c420a378	1173.0	304.0	1114.0	313.0	423.0	523.0	472.0	452.0	129.0	333.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
690c2d6c3b47dc4582bf25d58f6912e8	1520.0	1196.0	1296.0	0.0	161.0	66.0	263.0	282.0	257.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
64ca8015877ddecd3eca5e0827fef548	268.0	350.0	377.0	244.0	529.0	256.0	678.0	427.0	1311.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
c1e78e4876ea7205aa77e4d6a4590972	0.0	0.0	1979.0	90.0	457.0	570.0	667.0	214.0	427.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
6a304f82731206fb07a45a3ba131faa6	804.0	0.0	613.0	278.0	543.0	889.0	716.0	0.0	487.0	0.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia_sp.
80348d7c0aaa9a5c02394946f2375cf5	0.0	380.0	566.0	541.0	387.0	349.0	549.0	742.0	315.0	432.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Adlercreutzia
0647c6eba5b4db02bc391d36d1dc0898	0.0	0.0	0.0	0.0	0.0	0.0	2307.0	0.0	0.0	1887.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
ddb6f52ebd61e3103338545d80600226	0.0	281.0	783.0	0.0	668.0	384.0	598.0	849.0	552.0	0.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Adlercreutzia
ee927b79526ed314e32ae6702f95a694	859.0	1989.0	225.0	88.0	724.0	189.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Hungatella
cd1b0e00fc43500269d29a227ec8a8fd	523.0	471.0	516.0	83.0	562.0	445.0	374.0	445.0	543.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
cd895764650fd71520a7d33da2ae838e	718.0	644.0	779.0	240.0	662.0	259.0	214.0	250.0	126.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dielma
805df27126a196f535f73314fe3fe581	505.0	498.0	810.0	75.0	363.0	273.0	415.0	320.0	506.0	74.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Gordonibacter
6674ef50856e1cc833c8a9a7bca8c38c	1151.0	936.0	845.0	0.0	188.0	0.0	214.0	204.0	225.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
cc3900033863830de28482ecbfa47785	0.0	0.0	252.0	39.0	163.0	1033.0	1011.0	76.0	1173.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__uncultured; g__uncultured; s__gut_metagenome
4dff1fa3190d32d7896916e4e3833696	669.0	640.0	329.0	383.0	674.0	755.0	93.0	0.0	146.0	23.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
8752d5d14cb0feda7d7abe33fa125fd2	496.0	480.0	379.0	179.0	537.0	549.0	380.0	319.0	373.0	2.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__Odoribacter_splanchnicus
c4460873f7701bf99a5fcd11fdb84031	442.0	514.0	304.0	326.0	762.0	180.0	303.0	333.0	477.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Anaerofustaceae; g__Anaerofustis; s__Anaerofustis_stercorihominis
8e08ea8133f0e3ce6d6ad820d610d7f9	82.0	0.0	175.0	187.0	413.0	115.0	722.0	0.0	1781.0	36.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group
6ceac0d1ac954b4cd41c2a686fecc7cc	715.0	597.0	1068.0	0.0	0.0	0.0	293.0	578.0	203.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
3633956e2f665b303670c3e751ca2063	391.0	641.0	762.0	0.0	374.0	145.0	278.0	79.0	348.0	436.0	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Eggerthella
7e9d33d10b0ca95220004a72de58dff8	371.0	561.0	119.0	61.0	394.0	213.0	837.0	200.0	645.0	7.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
a7666a05fc33ca11e8fca0e0ea6582e9	83.0	110.0	86.0	195.0	371.0	623.0	942.0	224.0	688.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
b5273ea89fc8050f7722e4e86fa69e71	0.0	0.0	0.0	0.0	0.0	0.0	3234.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
3cde48c0d12ac77376afa9ae5548619d	294.0	72.0	337.0	0.0	192.0	1136.0	1186.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
01d184a6544dae566736fc3f55bd5bda	0.0	21.0	70.0	494.0	693.0	198.0	101.0	675.0	151.0	634.0	Unassigned
c3119bc14a525b2dcb937defb7b51df9	131.0	139.0	0.0	67.0	175.0	294.0	394.0	997.0	572.0	60.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
e862050eac2a57e9456a35559c9026ad	0.0	0.0	0.0	0.0	0.0	356.0	0.0	0.0	0.0	2379.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1
eb43bf1a8bca24fb4cbc173c4f5263d8	283.0	132.0	366.0	194.0	335.0	277.0	418.0	193.0	492.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Phocea
4fa186afc5bad7dbfdfff41965f1c589	137.0	67.0	457.0	139.0	378.0	287.0	333.0	255.0	624.0	10.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania
76c9fe12b0ec680e6c821023316a4e4c	15.0	0.0	40.0	130.0	493.0	113.0	1399.0	221.0	142.0	57.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
e68054e5fe6786c1e02e8df327d13ecc	0.0	0.0	189.0	0.0	378.0	223.0	554.0	417.0	802.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Clostridium]_innocuum_group
f0f88b0688441b1f0f025999ba40b950	111.0	0.0	619.0	91.0	384.0	211.0	460.0	183.0	486.0	8.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured; s__human_gut
53b377bf67d93d977a8a0dbb26d635bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2540.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
5c9cf93a6e357219c5ff08560c50c46f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2522.0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister
9fc993e6f9f8f97071eb5e0b89239a8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2505.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group
e90e875a3ff63baa996fc03833a72d6c	422.0	460.0	424.0	82.0	391.0	171.0	99.0	168.0	191.0	28.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-010; s__uncultured_bacterium
b9bc9c20826099699b5f6bbdcf9e9b97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2428.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group
8826aa998d84285359fc722fc6af1df6	219.0	66.0	234.0	119.0	343.0	152.0	378.0	316.0	480.0	56.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__[Eubacterium]_nodatum_group
7d6c13b56c8de4e81c45369e9388e440	0.0	2295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
60b5f0e4a68f7894aaef0e8af0a95ef8	685.0	713.0	185.0	0.0	303.0	134.0	140.0	0.0	117.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
36eb94354d7c5e45c77d9a6686add4fa	210.0	128.0	231.0	126.0	399.0	167.0	359.0	131.0	444.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__[Eubacterium]_nodatum_group; s__unidentified
19fad1b7fc01c50cf4c42b6e06fd0882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2137.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea
